#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   0.00000    -55.045223  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.01785    -55.045207  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.03570    -55.045160  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.05354    -55.045080  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.07139    -55.044969  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.08924    -55.044826  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.10709    -55.044653  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.12493    -55.044449  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.14278    -55.044216  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.16063    -55.043953  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.17848    -55.043662  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.19632    -55.043344  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   0.21417    -55.042998  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.23202    -55.042626  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.24987    -55.042230  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.26771    -55.041811  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.28556    -55.041369  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.30341    -55.040906  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.32126    -55.040423  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.33910    -55.039922  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.35695    -55.039404  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.37480    -55.038871  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.39265    -55.038323  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.41049    -55.037762  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.42834    -55.037190  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.44619    -55.036611  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.46404    -55.036023  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.48188    -55.035429  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.49973    -55.034831  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.51758    -55.034230  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.53543    -55.033628  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.55327    -55.033026  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.57112    -55.032427  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.58897    -55.031832  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.60682    -55.031243  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.62466    -55.030662  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.64251    -55.030090  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.66036    -55.029529  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.67821    -55.028980  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.69605    -55.028445  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.71390    -55.027926  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.73175    -55.027423  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.74960    -55.026939  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.76744    -55.026475  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.78529    -55.026032  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.80314    -55.025611  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.82099    -55.025214  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.83883    -55.024841  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.85668    -55.024495  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.87453    -55.024175  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.89238    -55.023883  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   0.91022    -55.023619  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
